cpus=4
          stress-3672  [000] 14905.259367602:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3680  [000] 14905.865152173: (+8002981) sched_switch:         stress:3680 [120] R ==> stress:3678 [120]
          stress-3678  [000] 14905.873147284: (+7995111) sched_switch:         stress:3678 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.875080266: (+1932982) sched_switch:         stress:3673 [120] D ==> stress:3680 [120]
          stress-3680  [000] 14905.875123821: (+43555) sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:000
          stress-3680  [000] 14905.881145933: (+6022112) sched_switch:         stress:3680 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.881160358: (+14425) sched_switch:         stress:3673 [120] D ==> stress:3678 [120]
          stress-3678  [000] 14905.893148673: (+11988315) sched_switch:         stress:3678 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.897213433: (+4064760) sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:000
          stress-3680  [000] 14905.897217210: (+3777)  sched_switch:         stress:3680 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.909155451: (+11938241) sched_switch:         stress:3673 [120] R ==> stress:3680 [120]
          stress-3680  [000] 14905.917144636: (+7989185) sched_switch:         stress:3680 [120] R ==> stress:3673 [120]
          stress-3673  [000] 14905.925159025: (+8014389) sched_switch:         stress:3673 [120] R ==> stress:3678 [120]
