CPU 3 is empty
cpus=4
          stress-3035  [001] 14483.547264081:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2965  [000] 14483.585389655: (+713760) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.585397599: (+7944)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14483.585425969: (+28370) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14483.585448395: (+22426) sched_switch:         kworker/0:1H:67 [100] W ==> task_client_B.a:2965 [120]
          stress-3033  [001] 14483.585453877: (+5482)  sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:001
          stress-3033  [001] 14483.585467006: (+13129) sched_switch:         stress:3033 [120] R ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [001] 14483.585526692: (+59686) sched_wakeup:         stress:3031 [120]<CANT FIND FIELD success> CPU:001
 jbd2/mmcblk0p2--93    [001] 14483.585533192: (+6500)  sched_wakeup:         stress:3028 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2965  [000] 14483.585535895: (+2703)  sched_wakeup:         stress:3034 [120]<CANT FIND FIELD success> CPU:000
 jbd2/mmcblk0p2--93    [001] 14483.585542321: (+6426)  sched_switch:         jbd2/mmcblk0p2-:93 [120] S ==> task_client_A.a:2963 [120]
          stress-3029  [002] 14483.585542840: (+519)   sched_wakeup:         stress:3036 [120]<CANT FIND FIELD success> CPU:002
          stress-3029  [002] 14483.585548284: (+5444)  sched_switch:         stress:3029 [120] R ==> task_server.a:2961 [120]
 task_client_A.a-2963  [001] 14483.586116062: (+567778) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3028 [120]
          stress-3028  [001] 14483.586203303: (+87241) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3028  [001] 14483.586209173: (+5870)  sched_switch:         stress:3028 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14483.586248099: (+38926) sched_switch:         kworker/1:1H:91 [100] D ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.586311414: (+63315) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3028 [120]
          stress-3028  [001] 14483.586328358: (+16944) sched_switch:         stress:3028 [120] D ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.586339488: (+11130) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3031 [120]
          stress-3031  [001] 14483.586355673: (+16185) sched_switch:         stress:3031 [120] D ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.586366840: (+11167) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3033 [120]
   task_server.a-2961  [002] 14483.589326821: (+2959981) sched_switch:         task_server.a:2961 [120] R ==> stress:3036 [120]
          stress-3036  [002] 14483.589340710: (+13889) sched_switch:         stress:3036 [120] D ==> stress:3029 [120]
 task_client_B.a-2965  [000] 14483.589707562: (+366852) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3034 [120]
          stress-3034  [000] 14483.589722043: (+14481) sched_switch:         stress:3034 [120] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.589743062: (+21019) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3030 [120]
